old_name,new_name,provenance,life_stage,sex,sample_num
WA_L3L_M1_GCCAAT_L007_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,WA_L3L_M4,3,1,1,4
WA_L3L_M2_CAGATC_L003_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,WA_L3L_M2,3,1,1,2
WA_L3L_M3_CTTGTA_L003_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,WA_L3L_M3,3,1,1,3
WA_L3L_M3_CTTGTA_L007_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,WA_L3L_M5,3,1,1,5
WA_PD1_F1_CGATGT_L004_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,WA_PD1_F1,3,3,2,1
WA_PD1_F2_TGACCA_L004_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,WA_PD1_F2,3,3,2,2
WA_PD1_F3_ACAGTG_L004_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,WA_PD1_F3,3,3,2,3
WA_PD1_M1_GCCAAT_L004_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,WA_PD1_M1,3,3,1,1
WA_PD1_M2_CAGATC_L004_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,WA_PD1_M2,3,3,1,2
WA_PD1_M3_CTTGTA_L004_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,WA_PD1_M3,3,3,1,3
WA_PP1_F1_AGTCAA_L003_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,WA_PP1_F1,3,2,2,1
WA_PP1_F2_AGTTCC_L003_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,WA_PP1_F2,3,2,2,2
WA_PP1_F3_ATGTCA_L003_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,WA_PP1_F3,3,2,2,3
WA_PP1_M1_CCGTCC_L003_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,WA_PP1_M1,3,2,1,1
WA_PP1_M2_GTCCGC_L003_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,WA_PP1_M2,3,2,1,2
WA_PP1_M3_GTGAAA_L003_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,WA_PP1_M3,3,2,1,3
