OTAU000001-RA	0
OTAU000002-RA	1574
OTAU000003-RA	1172
OTAU000004-RA	44
OTAU000005-RA	44
OTAU000006-RA	205
OTAU000007-RA	2
OTAU000008-RA	1163
OTAU000009-RA	2177
OTAU000010-RA	16
OTAU000011-RA	0
OTAU000012-RA	102
OTAU000013-RA	442
OTAU000014-RA	21
OTAU000015-RA	4734
OTAU000016-RA	3909
OTAU000017-RA	256
OTAU000018-RA	80
OTAU000019-RA	1299
OTAU000020-RA	5
OTAU000021-RA	220
OTAU000022-RA	190
OTAU000023-RA	0
OTAU000024-RA	2473
OTAU000025-RA	784
OTAU000026-RA	0
OTAU000027-RA	34
OTAU000028-RA	1
OTAU000029-RA	443
OTAU000030-RA	16341
OTAU000031-RA	437
OTAU000032-RA	624
OTAU000033-RA	163
OTAU000034-RA	4
OTAU000035-RA	1158
OTAU000036-RA	204
OTAU000037-RA	379
OTAU000038-RA	90
OTAU000039-RA	0
OTAU000040-RA	0
OTAU000041-RA	347
OTAU000042-RA	137
OTAU000043-RA	1282
OTAU000044-RA	141
OTAU000045-RA	741
OTAU000046-RA	394
OTAU000047-RA	3769
OTAU000048-RA	2
OTAU000049-RA	6
OTAU000050-RA	404
OTAU000051-RA	92
OTAU000052-RA	1805
OTAU000053-RA	0
OTAU000054-RA	9798
OTAU000055-RA	382
OTAU000056-RA	665
OTAU000057-RA	1010
OTAU000058-RA	16
OTAU000059-RA	681
OTAU000060-RA	264
OTAU000061-RA	543
OTAU000062-RA	685
OTAU000063-RA	101
OTAU000064-RA	22
OTAU000065-RA	6
OTAU000066-RA	256
OTAU000067-RA	23
OTAU000068-RA	193
OTAU000069-RA	20
OTAU000070-RA	19
OTAU000071-RA	6
OTAU000072-RA	1
OTAU000073-RA	42
OTAU000074-RA	716
OTAU000075-RA	51
OTAU000076-RA	5
OTAU000077-RA	120
OTAU000078-RA	0
OTAU000079-RA	62
OTAU000080-RA	179
OTAU000081-RA	240
OTAU000082-RA	29
OTAU000083-RA	14
OTAU000084-RA	192
OTAU000085-RA	28
OTAU000086-RA	11
OTAU000087-RA	0
OTAU000088-RA	14
OTAU000089-RA	1031
OTAU000090-RA	948
OTAU000091-RA	1394
OTAU000092-RA	563
OTAU000093-RA	470
OTAU000094-RA	11243
OTAU000095-RA	390
OTAU000096-RA	136
OTAU000097-RA	1176
OTAU000098-RA	20
OTAU000099-RA	1273
OTAU000100-RA	178
OTAU000101-RA	3300
OTAU000102-RA	523
OTAU000103-RA	1254
OTAU000104-RA	20
OTAU000105-RA	334
OTAU000106-RA	188
OTAU000107-RA	1878
OTAU000108-RA	2188
OTAU000109-RA	12
OTAU000110-RA	11
OTAU000111-RA	275
OTAU000112-RA	38
OTAU000113-RA	792
OTAU000114-RA	0
OTAU000115-RA	526
OTAU000116-RA	927
OTAU000117-RA	216
OTAU000118-RA	0
OTAU000119-RA	0
OTAU000120-RA	7564
OTAU000121-RA	35
OTAU000122-RA	143
OTAU000123-RA	266
OTAU000124-RA	44598
OTAU000125-RA	24014
OTAU000126-RA	0
OTAU000127-RA	107
OTAU000128-RA	94
OTAU000129-RA	294
OTAU000130-RA	120
OTAU000131-RA	298
OTAU000132-RA	5720
OTAU000133-RA	257
OTAU000134-RA	4
OTAU000135-RA	8
OTAU000136-RA	61
OTAU000137-RA	845
OTAU000138-RA	258
OTAU000139-RA	1123
OTAU000140-RA	647
OTAU000141-RA	3
OTAU000142-RA	2
OTAU000143-RA	137
OTAU000144-RA	68
OTAU000145-RA	0
OTAU000146-RA	0
OTAU000147-RA	0
OTAU000148-RA	333
OTAU000149-RA	6
