OTAU000001-RA	0
OTAU000002-RA	404
OTAU000003-RA	446
OTAU000004-RA	20
OTAU000005-RA	23
OTAU000006-RA	13
OTAU000007-RA	0
OTAU000008-RA	451
OTAU000009-RA	92
OTAU000010-RA	9
OTAU000011-RA	0
OTAU000012-RA	64
OTAU000013-RA	56
OTAU000014-RA	5
OTAU000015-RA	1118
OTAU000016-RA	621
OTAU000017-RA	79
OTAU000018-RA	30
OTAU000019-RA	14
OTAU000020-RA	0
OTAU000021-RA	43
OTAU000022-RA	56
OTAU000023-RA	0
OTAU000024-RA	498
OTAU000025-RA	242
OTAU000026-RA	0
OTAU000027-RA	8
OTAU000028-RA	0
OTAU000029-RA	221
OTAU000030-RA	5603
OTAU000031-RA	229
OTAU000032-RA	246
OTAU000033-RA	65
OTAU000034-RA	18
OTAU000035-RA	252
OTAU000036-RA	59
OTAU000037-RA	97
OTAU000038-RA	31
OTAU000039-RA	0
OTAU000040-RA	0
OTAU000041-RA	141
OTAU000042-RA	81
OTAU000043-RA	689
OTAU000044-RA	2
OTAU000045-RA	214
OTAU000046-RA	68
OTAU000047-RA	1169
OTAU000048-RA	1
OTAU000049-RA	0
OTAU000050-RA	85
OTAU000051-RA	70
OTAU000052-RA	517
OTAU000053-RA	0
OTAU000054-RA	181
OTAU000055-RA	99
OTAU000056-RA	179
OTAU000057-RA	521
OTAU000058-RA	8
OTAU000059-RA	180
OTAU000060-RA	14
OTAU000061-RA	110
OTAU000062-RA	272
OTAU000063-RA	45
OTAU000064-RA	3
OTAU000065-RA	32
OTAU000066-RA	60
OTAU000067-RA	5
OTAU000068-RA	55
OTAU000069-RA	13
OTAU000070-RA	15
OTAU000071-RA	5
OTAU000072-RA	0
OTAU000073-RA	5
OTAU000074-RA	41
OTAU000075-RA	16
OTAU000076-RA	1
OTAU000077-RA	22
OTAU000078-RA	0
OTAU000079-RA	7
OTAU000080-RA	83
OTAU000081-RA	39
OTAU000082-RA	9
OTAU000083-RA	1
OTAU000084-RA	99
OTAU000085-RA	3
OTAU000086-RA	0
OTAU000087-RA	0
OTAU000088-RA	2
OTAU000089-RA	224
OTAU000090-RA	260
OTAU000091-RA	601
OTAU000092-RA	99
OTAU000093-RA	111
OTAU000094-RA	912
OTAU000095-RA	141
OTAU000096-RA	25
OTAU000097-RA	369
OTAU000098-RA	14
OTAU000099-RA	200
OTAU000100-RA	75
OTAU000101-RA	691
OTAU000102-RA	50
OTAU000103-RA	370
OTAU000104-RA	2
OTAU000105-RA	87
OTAU000106-RA	90
OTAU000107-RA	411
OTAU000108-RA	550
OTAU000109-RA	3
OTAU000110-RA	0
OTAU000111-RA	16
OTAU000112-RA	8
OTAU000113-RA	240
OTAU000114-RA	0
OTAU000115-RA	210
OTAU000116-RA	223
OTAU000117-RA	137
OTAU000118-RA	0
OTAU000119-RA	0
OTAU000120-RA	349
OTAU000121-RA	1
OTAU000122-RA	100
OTAU000123-RA	21
OTAU000124-RA	1275
OTAU000125-RA	802
OTAU000126-RA	0
OTAU000127-RA	43
OTAU000128-RA	27
OTAU000129-RA	131
OTAU000130-RA	173
OTAU000131-RA	65
OTAU000132-RA	855
OTAU000133-RA	119
OTAU000134-RA	0
OTAU000135-RA	10
OTAU000136-RA	15
OTAU000137-RA	200
OTAU000138-RA	71
OTAU000139-RA	460
OTAU000140-RA	163
OTAU000141-RA	0
OTAU000142-RA	1
OTAU000143-RA	30
OTAU000144-RA	61
OTAU000145-RA	0
OTAU000146-RA	0
OTAU000147-RA	0
OTAU000148-RA	140
OTAU000149-RA	0
OTAU000150-RA	0
OTAU000151-RA	2
OTAU000152-RA	5
OTAU000153-RA	131
OTAU000154-RA	3
OTAU000155-RA	78
OTAU000156-RA	28
OTAU000157-RA	229
OTAU000158-RA	0
OTAU000159-RA	0
OTAU000160-RA	0
OTAU000161-RA	3
OTAU000162-RA	223
OTAU000163-RA	35
OTAU000164-RA	33
OTAU000165-RA	5
OTAU000166-RA	387
OTAU000167-RA	355
OTAU000168-RA	0
OTAU000169-RA	88
OTAU000170-RA	119
OTAU000171-RA	36
OTAU000172-RA	92
OTAU000173-RA	96
OTAU000174-RA	820
OTAU000175-RA	11
OTAU000176-RA	53
OTAU000177-RA	0
OTAU000178-RA	5
OTAU000179-RA	3
OTAU000180-RA	319
OTAU000181-RA	238
OTAU000182-RA	24
OTAU000183-RA	38
OTAU000184-RA	0
OTAU000185-RA	181
OTAU000186-RA	0
OTAU000187-RA	94
OTAU000188-RA	843
OTAU000189-RA	40
OTAU000190-RA	5
OTAU000191-RA	1
OTAU000192-RA	39
OTAU000193-RA	47
OTAU000194-RA	175
OTAU000195-RA	3
OTAU000196-RA	620
OTAU000197-RA	0
OTAU000198-RA	64
OTAU000199-RA	1790
OTAU000200-RA	58
OTAU000201-RA	1416
OTAU000202-RA	23
OTAU000203-RA	18
OTAU000204-RA	0
OTAU000205-RA	717
OTAU000206-RA	1
OTAU000207-RA	0
OTAU000208-RA	308
OTAU000209-RA	68
