OTAU000001-RA	0
OTAU000002-RA	455
OTAU000003-RA	482
OTAU000004-RA	161
OTAU000005-RA	87
OTAU000006-RA	19
OTAU000007-RA	8
OTAU000008-RA	515
OTAU000009-RA	973
OTAU000010-RA	19
OTAU000011-RA	0
OTAU000012-RA	130
OTAU000013-RA	652
OTAU000014-RA	41
OTAU000015-RA	2344
OTAU000016-RA	545
OTAU000017-RA	68
OTAU000018-RA	45
OTAU000019-RA	7
OTAU000020-RA	10
OTAU000021-RA	54
OTAU000022-RA	64
OTAU000023-RA	0
OTAU000024-RA	524
OTAU000025-RA	467
OTAU000026-RA	1
OTAU000027-RA	12
OTAU000028-RA	10
OTAU000029-RA	328
OTAU000030-RA	7354
OTAU000031-RA	185
OTAU000032-RA	254
OTAU000033-RA	170
OTAU000034-RA	1
OTAU000035-RA	329
OTAU000036-RA	75
OTAU000037-RA	110
OTAU000038-RA	41
OTAU000039-RA	0
OTAU000040-RA	0
OTAU000041-RA	355
OTAU000042-RA	64
OTAU000043-RA	603
OTAU000044-RA	109
OTAU000045-RA	170
OTAU000046-RA	249
OTAU000047-RA	6533
OTAU000048-RA	12
OTAU000049-RA	465
OTAU000050-RA	199
OTAU000051-RA	126
OTAU000052-RA	1604
OTAU000053-RA	0
OTAU000054-RA	1567
OTAU000055-RA	137
OTAU000056-RA	186
OTAU000057-RA	906
OTAU000058-RA	232
OTAU000059-RA	392
OTAU000060-RA	53
OTAU000061-RA	145
OTAU000062-RA	317
OTAU000063-RA	112
OTAU000064-RA	382
OTAU000065-RA	106
OTAU000066-RA	82
OTAU000067-RA	17
OTAU000068-RA	102
OTAU000069-RA	12
OTAU000070-RA	8
OTAU000071-RA	2
OTAU000072-RA	0
OTAU000073-RA	11
OTAU000074-RA	159
OTAU000075-RA	27
OTAU000076-RA	1
OTAU000077-RA	112
OTAU000078-RA	3
OTAU000079-RA	262
OTAU000080-RA	110
OTAU000081-RA	204
OTAU000082-RA	346
OTAU000083-RA	8
