OTAU000001-RA	0
OTAU000002-RA	1914
OTAU000003-RA	2633
OTAU000004-RA	9
OTAU000005-RA	79
OTAU000006-RA	299
OTAU000007-RA	1
OTAU000008-RA	2861
OTAU000009-RA	1121
OTAU000010-RA	33
OTAU000011-RA	0
OTAU000012-RA	158
OTAU000013-RA	575
OTAU000014-RA	45
OTAU000015-RA	6907
OTAU000016-RA	2877
OTAU000017-RA	484
OTAU000018-RA	172
OTAU000019-RA	149
OTAU000020-RA	2
OTAU000021-RA	252
OTAU000022-RA	345
OTAU000023-RA	0
OTAU000024-RA	4764
OTAU000025-RA	1526
OTAU000026-RA	0
OTAU000027-RA	71
OTAU000028-RA	0
OTAU000029-RA	799
OTAU000030-RA	21928
OTAU000031-RA	1302
OTAU000032-RA	1539
OTAU000033-RA	311
OTAU000034-RA	2
OTAU000035-RA	946
OTAU000036-RA	313
OTAU000037-RA	915
OTAU000038-RA	213
OTAU000039-RA	0
OTAU000040-RA	0
OTAU000041-RA	1026
OTAU000042-RA	326
OTAU000043-RA	2367
OTAU000044-RA	2
OTAU000045-RA	1021
OTAU000046-RA	162
OTAU000047-RA	3044
OTAU000048-RA	3
OTAU000049-RA	2
OTAU000050-RA	460
OTAU000051-RA	268
OTAU000052-RA	3382
OTAU000053-RA	0
OTAU000054-RA	957
OTAU000055-RA	786
OTAU000056-RA	1579
OTAU000057-RA	3177
OTAU000058-RA	54
OTAU000059-RA	1676
OTAU000060-RA	175
OTAU000061-RA	1455
OTAU000062-RA	2294
OTAU000063-RA	240
OTAU000064-RA	16
OTAU000065-RA	17
OTAU000066-RA	464
OTAU000067-RA	8
OTAU000068-RA	338
OTAU000069-RA	37
OTAU000070-RA	80
OTAU000071-RA	23
OTAU000072-RA	4
OTAU000073-RA	115
OTAU000074-RA	1368
OTAU000075-RA	50
OTAU000076-RA	5
OTAU000077-RA	231
OTAU000078-RA	0
OTAU000079-RA	74
OTAU000080-RA	398
OTAU000081-RA	123
OTAU000082-RA	91
OTAU000083-RA	37
OTAU000084-RA	617
