OTAU000001-RA	0
OTAU000002-RA	518
OTAU000003-RA	617
OTAU000004-RA	208
OTAU000005-RA	144
OTAU000006-RA	14
OTAU000007-RA	8
OTAU000008-RA	907
OTAU000009-RA	720
OTAU000010-RA	21
OTAU000011-RA	0
OTAU000012-RA	130
OTAU000013-RA	414
OTAU000014-RA	54
OTAU000015-RA	2103
OTAU000016-RA	372
OTAU000017-RA	70
OTAU000018-RA	35
OTAU000019-RA	13
OTAU000020-RA	22
OTAU000021-RA	57
OTAU000022-RA	86
OTAU000023-RA	0
OTAU000024-RA	533
OTAU000025-RA	591
OTAU000026-RA	3
OTAU000027-RA	13
OTAU000028-RA	26
OTAU000029-RA	402
OTAU000030-RA	8103
OTAU000031-RA	147
OTAU000032-RA	297
OTAU000033-RA	198
OTAU000034-RA	0
OTAU000035-RA	328
OTAU000036-RA	78
OTAU000037-RA	68
OTAU000038-RA	46
OTAU000039-RA	1
OTAU000040-RA	1
OTAU000041-RA	239
OTAU000042-RA	52
OTAU000043-RA	779
OTAU000044-RA	90
OTAU000045-RA	234
OTAU000046-RA	174
OTAU000047-RA	6567
OTAU000048-RA	11
OTAU000049-RA	893
OTAU000050-RA	325
OTAU000051-RA	139
OTAU000052-RA	3249
OTAU000053-RA	0
OTAU000054-RA	2171
OTAU000055-RA	145
OTAU000056-RA	207
OTAU000057-RA	1161
OTAU000058-RA	213
OTAU000059-RA	305
OTAU000060-RA	39
OTAU000061-RA	141
OTAU000062-RA	316
OTAU000063-RA	100
OTAU000064-RA	832
OTAU000065-RA	12
OTAU000066-RA	95
OTAU000067-RA	11
OTAU000068-RA	111
OTAU000069-RA	11
OTAU000070-RA	18
OTAU000071-RA	8
OTAU000072-RA	0
OTAU000073-RA	5
OTAU000074-RA	69
OTAU000075-RA	34
OTAU000076-RA	2
OTAU000077-RA	120
OTAU000078-RA	0
OTAU000079-RA	732
OTAU000080-RA	170
OTAU000081-RA	367
OTAU000082-RA	1139
OTAU000083-RA	13
OTAU000084-RA	347
OTAU000085-RA	353
OTAU000086-RA	140
OTAU000087-RA	102
OTAU000088-RA	4
OTAU000089-RA	581
OTAU000090-RA	239
OTAU000091-RA	697
OTAU000092-RA	83
OTAU000093-RA	153
OTAU000094-RA	371
OTAU000095-RA	135
OTAU000096-RA	236
OTAU000097-RA	916
OTAU000098-RA	13
OTAU000099-RA	449
OTAU000100-RA	169
OTAU000101-RA	1006
OTAU000102-RA	135
OTAU000103-RA	676
OTAU000104-RA	11
OTAU000105-RA	67
OTAU000106-RA	182
OTAU000107-RA	586
OTAU000108-RA	3752
OTAU000109-RA	759
OTAU000110-RA	470
