OTAU000001-RA	0
OTAU000002-RA	520
OTAU000003-RA	770
OTAU000004-RA	0
OTAU000005-RA	30
OTAU000006-RA	63
OTAU000007-RA	2
OTAU000008-RA	987
OTAU000009-RA	654
OTAU000010-RA	8
OTAU000011-RA	0
OTAU000012-RA	63
OTAU000013-RA	416
OTAU000014-RA	16
OTAU000015-RA	2029
OTAU000016-RA	903
OTAU000017-RA	217
OTAU000018-RA	75
OTAU000019-RA	88
OTAU000020-RA	0
OTAU000021-RA	91
OTAU000022-RA	120
OTAU000023-RA	0
OTAU000024-RA	1528
OTAU000025-RA	754
OTAU000026-RA	0
OTAU000027-RA	44
OTAU000028-RA	5
OTAU000029-RA	244
OTAU000030-RA	6301
OTAU000031-RA	495
OTAU000032-RA	485
OTAU000033-RA	144
OTAU000034-RA	0
OTAU000035-RA	438
OTAU000036-RA	143
OTAU000037-RA	208
OTAU000038-RA	117
OTAU000039-RA	0
OTAU000040-RA	0
OTAU000041-RA	249
OTAU000042-RA	166
OTAU000043-RA	1579
OTAU000044-RA	30
OTAU000045-RA	363
OTAU000046-RA	250
OTAU000047-RA	2171
OTAU000048-RA	3
OTAU000049-RA	33
OTAU000050-RA	150
OTAU000051-RA	62
OTAU000052-RA	1150
OTAU000053-RA	0
OTAU000054-RA	1830
OTAU000055-RA	309
OTAU000056-RA	571
OTAU000057-RA	983
OTAU000058-RA	15
OTAU000059-RA	488
OTAU000060-RA	251
OTAU000061-RA	413
OTAU000062-RA	462
OTAU000063-RA	66
OTAU000064-RA	31
OTAU000065-RA	5
OTAU000066-RA	159
OTAU000067-RA	10
OTAU000068-RA	40
OTAU000069-RA	17
OTAU000070-RA	25
OTAU000071-RA	7
OTAU000072-RA	2
OTAU000073-RA	35
OTAU000074-RA	727
OTAU000075-RA	31
OTAU000076-RA	6
OTAU000077-RA	47
OTAU000078-RA	0
OTAU000079-RA	27
OTAU000080-RA	121
OTAU000081-RA	49
OTAU000082-RA	33
OTAU000083-RA	6
OTAU000084-RA	226
OTAU000085-RA	46
OTAU000086-RA	29
OTAU000087-RA	13
OTAU000088-RA	25
OTAU000089-RA	1349
OTAU000090-RA	619
OTAU000091-RA	1029
OTAU000092-RA	322
OTAU000093-RA	230
OTAU000094-RA	842
OTAU000095-RA	205
OTAU000096-RA	129
OTAU000097-RA	225
OTAU000098-RA	26
OTAU000099-RA	677
OTAU000100-RA	99
OTAU000101-RA	2053
OTAU000102-RA	493
OTAU000103-RA	753
OTAU000104-RA	16
OTAU000105-RA	220
OTAU000106-RA	117
OTAU000107-RA	765
OTAU000108-RA	980
OTAU000109-RA	20
OTAU000110-RA	3
OTAU000111-RA	525
OTAU000112-RA	14
OTAU000113-RA	698
OTAU000114-RA	0
OTAU000115-RA	361
OTAU000116-RA	548
OTAU000117-RA	193
OTAU000118-RA	0
OTAU000119-RA	0
OTAU000120-RA	1015
OTAU000121-RA	37
OTAU000122-RA	185
OTAU000123-RA	116
OTAU000124-RA	2363
OTAU000125-RA	1275
OTAU000126-RA	1
OTAU000127-RA	72
OTAU000128-RA	55
OTAU000129-RA	197
