OTAU000001-RA	0
OTAU000002-RA	573
OTAU000003-RA	457
OTAU000004-RA	129
OTAU000005-RA	85
OTAU000006-RA	34
OTAU000007-RA	23
OTAU000008-RA	744
OTAU000009-RA	1093
OTAU000010-RA	15
OTAU000011-RA	0
OTAU000012-RA	133
OTAU000013-RA	296
OTAU000014-RA	52
OTAU000015-RA	2492
OTAU000016-RA	420
OTAU000017-RA	72
OTAU000018-RA	62
OTAU000019-RA	27
OTAU000020-RA	18
OTAU000021-RA	67
OTAU000022-RA	94
OTAU000023-RA	0
OTAU000024-RA	534
OTAU000025-RA	851
OTAU000026-RA	2
OTAU000027-RA	20
OTAU000028-RA	30
OTAU000029-RA	473
OTAU000030-RA	8624
OTAU000031-RA	184
OTAU000032-RA	348
OTAU000033-RA	267
OTAU000034-RA	10
OTAU000035-RA	308
OTAU000036-RA	98
OTAU000037-RA	120
OTAU000038-RA	55
OTAU000039-RA	1
OTAU000040-RA	0
OTAU000041-RA	272
OTAU000042-RA	82
OTAU000043-RA	924
OTAU000044-RA	40
OTAU000045-RA	277
OTAU000046-RA	219
OTAU000047-RA	4689
OTAU000048-RA	12
OTAU000049-RA	781
OTAU000050-RA	333
OTAU000051-RA	139
OTAU000052-RA	3002
OTAU000053-RA	0
OTAU000054-RA	1989
OTAU000055-RA	115
OTAU000056-RA	193
OTAU000057-RA	1631
OTAU000058-RA	323
OTAU000059-RA	346
OTAU000060-RA	77
OTAU000061-RA	195
OTAU000062-RA	337
OTAU000063-RA	91
OTAU000064-RA	714
OTAU000065-RA	126
OTAU000066-RA	102
OTAU000067-RA	8
OTAU000068-RA	160
OTAU000069-RA	19
OTAU000070-RA	15
OTAU000071-RA	8
OTAU000072-RA	0
OTAU000073-RA	10
OTAU000074-RA	85
OTAU000075-RA	36
OTAU000076-RA	2
OTAU000077-RA	138
OTAU000078-RA	0
OTAU000079-RA	686
OTAU000080-RA	111
OTAU000081-RA	266
OTAU000082-RA	1145
OTAU000083-RA	6
OTAU000084-RA	351
OTAU000085-RA	445
OTAU000086-RA	94
OTAU000087-RA	103
OTAU000088-RA	7
OTAU000089-RA	693
OTAU000090-RA	255
OTAU000091-RA	839
OTAU000092-RA	103
OTAU000093-RA	233
OTAU000094-RA	598
OTAU000095-RA	168
OTAU000096-RA	260
OTAU000097-RA	1625
OTAU000098-RA	20
OTAU000099-RA	391
OTAU000100-RA	263
OTAU000101-RA	1061
OTAU000102-RA	129
OTAU000103-RA	796
OTAU000104-RA	5
OTAU000105-RA	111
OTAU000106-RA	242
OTAU000107-RA	602
OTAU000108-RA	3643
OTAU000109-RA	725
OTAU000110-RA	368
OTAU000111-RA	4066
OTAU000112-RA	233
OTAU000113-RA	573
OTAU000114-RA	0
OTAU000115-RA	218
OTAU000116-RA	290
OTAU000117-RA	127
OTAU000118-RA	0
OTAU000119-RA	0
OTAU000120-RA	1723
OTAU000121-RA	189
OTAU000122-RA	251
OTAU000123-RA	5
OTAU000124-RA	1324
OTAU000125-RA	851
OTAU000126-RA	1
OTAU000127-RA	65
OTAU000128-RA	45
OTAU000129-RA	2188
OTAU000130-RA	30
OTAU000131-RA	144
OTAU000132-RA	980
OTAU000133-RA	149
OTAU000134-RA	3
OTAU000135-RA	20
OTAU000136-RA	73
OTAU000137-RA	235
OTAU000138-RA	156
OTAU000139-RA	617
OTAU000140-RA	248
OTAU000141-RA	0
OTAU000142-RA	0
OTAU000143-RA	66
